DATASET,Index,WellID,Well Name,Loop,Channel,fps,version,HROI Change Intensity,Harmonic Intensity,Heart size,Intensity/Harmonic Intensity (top 5 %),Movement detection max,SNR,SNR Top 5%,Signal Intensity Top 5%,Signal intensity,Signal regional prominence,Stop frame,empty frames,Heartrate (BPM),ground truth,error
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,135,WE00063,F010,LO002,CO6,13,v1.3.1(feb22-region),320.250183,29834.15232,5464,9.726183092,6289,0.367902089,0.71208313,290172,45449,0.781295754,130,0,96,95,1
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,29,WE00029,C005,LO001,CO6,13,v1.3.1(feb22-region),320.7231222,6173.46983,4753,44.99831442,6688,0.404179341,0.619712361,277796,50598,0.900694298,130,0,102,104.9,2.9
F2_24FPS_210719155352_OlE_HR_IPF2_2x_BQ_21C,90,WE00090,H007,LO001,CO6,24,v1.3.1(feb22-region),320.9872893,232547.3594,3619,4.282864849,6677,0.492695242,0.843659211,995969,136479,0.928709588,240,0,96,95.5,0.5
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,29,WE00029,C005,LO001,CO6,13,v1.3.1(feb22-region),321.5704225,4824.429272,852,4.451047061,4917,0.137910912,0.21704434,21474,7872,0.221830986,130,0,162,180,18
F2_24FPS_210719170353_OlE_HR_IPF2_2x_BQ_28C,10,WE00010,A010,LO001,CO6,24,v1.3.1(feb22-region),321.7522831,1773.454313,2628,133.6580579,1360,0.610551399,0.808949173,237036,70658,0.991248097,240,0,156,157.2,1.2
RANDOM_24FPS_210601190528_OlE_HR_IPF2_35C,20,WE00020,B005,LO001,CO6,24,v1.3.1(feb22-region),321.8487415,1220.573451,4132,130.9251094,3629,0.601495581,0.807119037,159804,42570,0.991287512,240,0,228,229.4,1.4
OMAR_13FPS_170814153204_Ol_SCN5A_NKX2_5_Temp_28C,58,WE00070,F003,LO001,CO6,13,v1.3.1(feb22-region),322.4813604,3177.367186,1529,36.11126667,3949,0.446902624,0.728995512,114739,25138,0.935905821,130,0,168,159,9
OMAR_13FPS_170814153204_Ol_SCN5A_NKX2_5_Temp_28C,24,WE00036,C012,LO001,CO6,13,v1.3.1(feb22-region),324.5135699,329007.9849,4311,1.788149138,2388883,0.352167955,0.595863173,588315,66040,0.549524472,122,0,160,81,79
OMAR_13FPS_170829142203_Ol_GIGYF1_CCDC141_Temp_28C,7,WE00019,B006,LO001,CO6,13,v1.3.1(feb22-region),324.8401209,3620.959343,6286,103.7508996,5075,0.370918152,0.746846227,375678,36992,0.85984728,130,0,168,166,2
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,16,WE00016,B009,LO001,CO6,13,v1.3.1(feb22-region),325.0120999,42228.64185,7686,9.726109184,7662,0.454536707,0.880409642,410720,58459,0.828909706,130,0,96,95.8,0.2
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,55,WE00068,F005,LO001,CO6,13,v1.3.1(feb22-region),325.0686527,6972.657147,6613,33.43043095,3706,0.328611903,0.532552897,233099,45494,0.748071979,130,0,102,104,2
