DATASET,Index,WellID,Well Name,Loop,Channel,fps,version,HROI Change Intensity,Harmonic Intensity,Heart size,Intensity/Harmonic Intensity (top 5 %),Movement detection max,SNR,SNR Top 5%,Signal Intensity Top 5%,Signal intensity,Signal regional prominence,Stop frame,empty frames,Heartrate (BPM),ground truth,error
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,18,WE00018,B007,LO001,CO6,13,v1.3.1(feb22-region),44.71988653,1087.525938,80728,2.164796645,66776,0.278943028,0.490222603,2354,620,0.141623724,40,0,39,159.8,120.8
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,116,WE00048,D001,LO002,CO6,13,v1.3.1(feb22-region),44.95014019,1782.947941,102006,26.64122923,84900,0.335654258,0.815672504,47500,3492,0.183312746,42,0,93,95.9,2.9
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,15,WE00015,B010,LO001,CO6,13,v1.3.1(feb22-region),51.88793512,9335.222875,107527,2.637601736,93387,0.30490685,0.661162702,24623,2416,0.195839185,43,0,54,52.9,1.1
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,84,WE00014,B011,LO002,CO6,13,v1.3.1(feb22-region),51.96051988,1148.536539,69478,2.253351593,96960,0.252840626,0.457436403,2588,567,0.115921587,44,0,71,172.1,101.1
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,124,WE00057,E009,LO002,CO6,13,v1.3.1(feb22-region),54.57983029,2513.008272,128222,34.94866147,99932,0.280030179,0.48964721,87826,5475,0.149896274,46,0,102,93.3,8.7
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,46,WE00058,E010,LO001,CO6,13,v1.3.1(feb22-region),57.02636535,1537.586153,4248,1.677739221,3384724,0.251073461,0.440902482,2580,1175,0.114642185,58,0,54,NA,200
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,37,WE00049,E001,LO001,CO6,13,v1.3.1(feb22-region),57.99308467,1531.052593,23137,2.260102911,98920,0.282362356,0.496583129,3460,1207,0.209534512,53,0,88,NA,200
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,125,WE00058,E010,LO002,CO6,13,v1.3.1(feb22-region),61.72254242,1673.322839,49622,11.14484664,51756,0.374584507,0.793989339,18649,2862,0.264539922,47,0,100,NA,200
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,56,WE00069,F004,LO001,CO6,13,v1.3.1(feb22-region),64.70758879,2041.998446,9066,1.646912671,3229891,0.236531166,0.419365805,3363,1564,0.112839179,58,0,67,105.8,38.8
OMAR_13FPS_170814153204_Ol_SCN5A_NKX2_5_Temp_28C,63,WE00076,G004,LO001,CO6,13,v1.3.1(feb22-region),69.27561366,1159.12348,52472,124.9237708,81826,0.414953011,0.822023262,144802,13080,0.202584235,47,0,166,168,2
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,8,WE00020,B005,LO001,CO6,13,v1.3.1(feb22-region),74.55256004,20405.56977,8828,5.358932594,2361759,0.459189248,0.794120195,109352,20385,0.572496602,60,0,26,102,76
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,21,WE00021,B004,LO001,CO6,13,v1.3.1(feb22-region),83.46375144,16751.07594,869,1.574018807,4356,0.173150557,0.278481485,26367,9913,0.341772152,130,0,18,162.2,144.2
OMAR_13FPS_170814153204_Ol_SCN5A_NKX2_5_Temp_28C,62,WE00075,G003,LO001,CO6,13,v1.3.1(feb22-region),94.52593675,7946.213308,67067,9.134048863,85718,0.380054139,0.764351139,72581,12023,0.39444138,77,0,20,163,143
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,25,WE00037,D012,LO001,CO6,13,v1.3.1(feb22-region),99.19058824,20092.03644,1700,3.796103521,2862874,0.301489566,0.563558247,76271,19081,0.395882353,62,0,25,NA,200
F2_24FPS_210719155352_OlE_HR_IPF2_2x_BQ_21C,6,WE00006,A006,LO001,CO6,24,v1.3.1(feb22-region),102.7873932,12338.47538,936,16.33307553,6082,0.270060331,0.498467129,201525,54397,0.754273504,240,0,18,87.9,69.9
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,131,WE00059,E011,LO002,CO6,13,v1.3.1(feb22-region),103.1062802,28210.77076,621,2.296224995,4226,0.199991374,0.32109774,64778,19027,0.458937198,130,0,18,NA,200
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,7,WE00019,B006,LO001,CO6,13,v1.3.1(feb22-region),112.5375443,2490.715256,12412,18.37029071,79527,0.453908826,0.748127608,45755,10828,0.525620367,54,0,101,104.4,3.4
OMAR_13FPS_170814143625_Ol_SCN5A_NKX2_5_Temp_21C,12,WE00024,B001,LO001,CO6,13,v1.3.1(feb22-region),112.6113537,39727.3646,458,1.658604354,3702,0.19118302,0.30238137,65892,31033,0.65720524,130,0,18,NA,200
RANDOM_24FPS_210601190528_OlE_HR_IPF2_35C,6,WE00006,A006,LO001,CO6,24,v1.3.1(feb22-region),117.6509573,815.463958,679,16.08927431,77551,0.413183803,0.610523684,13120,4722,0.969072165,134,0,236,NA,200
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,130,WE00063,F010,LO002,CO6,13,v1.3.1(feb22-region),123.9349442,16852.63801,2152,4.927732716,7384,0.187777752,0.288661189,83045,21710,0.349442379,130,0,42,NA,200
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,81,WE00093,H004,LO001,CO6,13,v1.3.1(feb22-region),126.7712318,88789.88221,1307,2.1472609,4934,0.193904245,0.314350335,190655,62601,0.433052793,130,0,18,NA,200
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,147,WE00081,G009,LO002,CO6,13,v1.3.1(feb22-region),130.310003,14025.681,13516,14.79194228,3153076,0.474921684,0.920010507,207467,26058,0.535291506,58,0,94,93.3,0.7
OMAR_13FPS_170814143625_Ol_SCN5A_NKX2_5_Temp_21C,26,WE00038,D011,LO001,CO6,13,v1.3.1(feb22-region),136.343038,16183.99183,790,1.331828509,4099,0.256246654,0.403991966,21554,9887,0.513924051,130,0,48,NA,200
F2_24FPS_210719170353_OlE_HR_IPF2_2x_BQ_28C,3,WE00003,A003,LO001,CO6,24,v1.3.1(feb22-region),138.1682964,3379.83528,12579,46.06117777,89931,0.405609423,0.587404516,155679,18549,0.753478019,77,0,150,142.9,7.1
F2_24FPS_210719170353_OlE_HR_IPF2_2x_BQ_28C,55,WE00055,E007,LO001,CO6,24,v1.3.1(feb22-region),143.2170777,1211.667981,13585,59.64876134,115802,0.544899639,0.814421632,72274,13009,0.908428414,86,0,167,164.6,2.4
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,4,WE00004,A004,LO001,CO6,13,v1.3.1(feb22-region),143.9363905,5741.216718,676,7.029362424,1953,0.273760698,0.462976304,40357,13696,0.557692308,130,0,54,NA,200
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,136,WE00070,F003,LO002,CO6,13,v1.3.1(feb22-region),147.8113086,3721.148322,3095,14.32864933,3443868,0.355158936,0.608585922,53319,11874,0.760581583,99,0,95,98.3,3.3
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,91,WE00095,H002,LO001,CO6,13,v1.3.1(feb22-region),148.6534109,3760.994974,3093,20.05818307,2341808,0.308842331,0.510740001,75439,10572,0.395085677,63,0,99,104.9,5.9
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,64,WE00077,G005,LO001,CO6,13,v1.3.1(feb22-region),152.395,2571.603914,2000,16.52042873,7415,0.344407821,0.650266564,42484,11258,0.9025,130,0,108,NA,200
F2_24FPS_210719181906_OlE_HR_IPF2_2x_BQ_35C,6,WE00006,A006,LO001,CO6,24,v1.3.1(feb22-region),152.9027895,2037.544271,4732,99.41860673,105025,0.336173425,0.688179352,202570,21462,0.370033812,228,0,215,NA,200
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,6,WE00018,B007,LO001,CO6,13,v1.3.1(feb22-region),154.404878,1158.725548,3280,75.73355417,21150,0.444497034,0.649139887,87754,14470,0.849085366,130,0,102,100,2
F2_24FPS_210719181906_OlE_HR_IPF2_2x_BQ_35C,45,WE00045,D004,LO001,CO6,24,v1.3.1(feb22-region),156.6062176,82072.43145,386,3.06438181,2277,0.27558435,0.440139333,251501,73387,0.810880829,240,0,24,NA,200
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,158,WE00088,H009,LO002,CO6,13,v1.3.1(feb22-region),159.3773748,1899.26711,9264,26.54231451,85693,0.387617732,0.785430508,50411,8458,0.772668394,85,0,156,158.1,2.1
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,138,WE00068,F005,LO002,CO6,13,v1.3.1(feb22-region),160.7818448,12480.55316,1366,3.76001177,4469,0.215591961,0.400435358,46927,15408,0.467057101,130,0,18,NA,200
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,54,WE00067,F006,LO001,CO6,13,v1.3.1(feb22-region),163.0748797,15434.91451,9976,7.812187737,94050,0.440164933,0.786109458,120580,20276,0.707598236,75,0,94,95.9,1.9
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,8,WE00008,A008,LO001,CO6,13,v1.3.1(feb22-region),163.9781228,1385.296449,1417,13.66583054,1723227,0.432753197,0.699019776,18931,7024,0.969654199,106,0,155,153.5,1.5
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,11,WE00011,A011,LO001,CO6,13,v1.3.1(feb22-region),165.416568,6854.730101,845,1.953342511,4717,0.152666134,0.27923687,13390,6846,0.185798817,130,0,18,80.9,62.9
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,22,WE00022,B003,LO001,CO6,13,v1.3.1(feb22-region),168.1258746,1905.167367,13434,84.41051898,118915,0.50861471,0.886573631,160816,17858,0.599970225,55,0,156,153.5,2.5
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,61,WE00061,F012,LO001,CO6,13,v1.3.1(feb22-region),168.8522235,18033.51435,23522,6.645986748,2004481,0.272947855,0.570272762,119850,17391,0.307074228,87,0,18,169,151
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,112,WE00040,D009,LO002,CO6,13,v1.3.1(feb22-region),171.6773779,4144.389219,778,9.842592063,3982,0.411812441,0.637606721,40792,16142,0.993573265,130,0,96,NA,200
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,89,WE00017,B008,LO002,CO6,13,v1.3.1(feb22-region),172.1656137,8173.798657,7439,13.864849,2490997,0.431268063,0.708572034,113328,20761,0.673477618,59,0,93,87,6
F2_24FPS_210719155352_OlE_HR_IPF2_2x_BQ_21C,27,WE00027,C003,LO001,CO6,24,v1.3.1(feb22-region),173.9876169,249253.6393,3957,4.321870174,8681,0.159765099,0.251990664,1077242,180912,0.337629517,240,0,30,90,60
F2_24FPS_210719170353_OlE_HR_IPF2_2x_BQ_28C,17,WE00017,B008,LO001,CO6,24,v1.3.1(feb22-region),174.2772134,33229.42014,6201,16.32277729,62994,0.661808437,0.923810288,542396,64276,0.960006451,144,0,130,129.8,0.2
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,2,WE00002,A002,LO001,CO6,13,v1.3.1(feb22-region),175.517094,10420.66667,1404,2.960742456,2527,0.308658466,0.55641685,30853,9568,0.641737892,130,0,84,166.2,82.2
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,108,WE00038,D011,LO002,CO6,13,v1.3.1(feb22-region),176.1033354,1979.080449,6416,17.17691067,3355582,0.420446998,0.728229781,33994,7495,0.69638404,69,0,181,177.6,3.4
RANDOM_24FPS_210601190528_OlE_HR_IPF2_35C,19,WE00019,B006,LO001,CO6,24,v1.3.1(feb22-region),176.454096,591.6521051,1416,106.5086904,58026,0.605895174,0.938123039,63016,9659,0.930084746,119,0,254,254.8,0.8
OMAR_13FPS_170814143625_Ol_SCN5A_NKX2_5_Temp_21C,40,WE00052,E004,LO001,CO6,13,v1.3.1(feb22-region),176.6977375,23207.96238,9591,6.920022756,3481369,0.512672572,0.845863608,160600,27552,0.801167761,82,0,95,96,1
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,8,WE00008,A008,LO001,CO6,13,v1.3.1(feb22-region),177.2552113,12409.65042,1775,5.053742163,3307,0.448550496,0.768668417,62715,15840,0.882816901,130,0,102,102.3,0.3
RANDOM_24FPS_210601190528_OlE_HR_IPF2_35C,10,WE00010,A010,LO001,CO6,24,v1.3.1(feb22-region),178.5186867,2005.540732,5726,39.89649032,102134,0.554850044,0.874839547,80014,12940,0.888927698,104,0,235,237.4,2.4
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,162,WE00096,H001,LO002,CO6,13,v1.3.1(feb22-region),178.7003316,13486.91618,6634,14.45358493,6070,0.396114078,0.848013176,194934,23445,0.835544166,130,0,96,96.7,0.7
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,50,WE00063,F010,LO001,CO6,13,v1.3.1(feb22-region),179.0260575,2358.578535,2955,31.78133688,4982,0.450993648,0.69033654,74959,23716,0.960067682,130,0,96,95.9,0.1
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,6,WE00006,A006,LO001,CO6,13,v1.3.1(feb22-region),179.203125,11867.39309,7040,7.13818833,1923911,0.468328344,0.779531477,84712,15169,0.790909091,64,0,98,99.8,1.8
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,84,WE00088,H009,LO001,CO6,13,v1.3.1(feb22-region),181.9165673,4151.59848,3356,8.507398661,3030,0.227620392,0.382883026,35319,9029,0.5488677,130,0,96,98.3,2.3
OMAR_13FPS_170814143625_Ol_SCN5A_NKX2_5_Temp_21C,9,WE00021,B004,LO001,CO6,13,v1.3.1(feb22-region),182.4838005,4020.738238,2747,22.51044956,4171,0.392363905,0.739737219,90509,22063,0.760101929,130,0,96,NA,200
OMAR_13FPS_170829142203_Ol_GIGYF1_CCDC141_Temp_28C,130,WE00060,E012,LO002,CO6,13,v1.3.1(feb22-region),187.5854214,1708.49083,439,7.034471389,6070,0.210585001,0.360205115,12018,4294,0.496583144,130,0,168,NA,200
OMAR_13FPS_170829142203_Ol_GIGYF1_CCDC141_Temp_28C,97,WE00027,C003,LO002,CO6,13,v1.3.1(feb22-region),190.6650641,1834.014077,1872,22.35723488,5898,0.374017965,0.682761931,41003,10060,0.954594017,130,0,156,NA,200
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,28,WE00040,D009,LO001,CO6,13,v1.3.1(feb22-region),192.5438324,4114.329529,1289,17.60130925,4246,0.347652019,0.612954865,72418,18310,0.859581071,130,0,96,NA,200
F2_24FPS_210719181906_OlE_HR_IPF2_2x_BQ_35C,94,WE00094,H003,LO001,CO6,24,v1.3.1(feb22-region),193.8482966,3008.256972,9334,45.38459147,115792,0.457600974,0.650355884,136529,18180,0.81926291,73,0,237,229.3,7.7
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,91,WE00022,B003,LO002,CO6,13,v1.3.1(feb22-region),194.375405,3181.491527,7408,22.95642302,2291803,0.337946304,0.535390693,73036,14862,0.659152268,79,0,109,104,5
F2_24FPS_210719181906_OlE_HR_IPF2_2x_BQ_35C,14,WE00014,B011,LO001,CO6,24,v1.3.1(feb22-region),196.2006427,2852.712457,18670,203.6045313,109380,0.581272684,0.986189715,580825,44517,0.788377076,117,0,234,233.1,0.9
OMAR_13FPS_170814143625_Ol_SCN5A_NKX2_5_Temp_21C,13,WE00025,C001,LO001,CO6,13,v1.3.1(feb22-region),196.3480687,23941.70228,4660,10.8126833,2351844,0.34874364,0.579823933,258874,35635,0.637124464,79,0,109,104,5
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,143,WE00071,F002,LO002,CO6,13,v1.3.1(feb22-region),196.6252796,27456.69861,10728,12.67657845,2870100,0.488037067,0.854197902,348057,37407,0.730331842,65,0,96,98,2
OMAR_13FPS_170829142203_Ol_GIGYF1_CCDC141_Temp_28C,126,WE00056,E008,LO002,CO6,13,v1.3.1(feb22-region),197.7666325,520.3901515,4885,79.41418822,10584,0.426115955,0.647144409,41326,7319,0.931013306,130,0,156,159,3
F2_24FPS_210719181906_OlE_HR_IPF2_2x_BQ_35C,21,WE00021,B004,LO001,CO6,24,v1.3.1(feb22-region),197.9134785,43584.53699,20388,10.511035,17377,0.225390265,0.451251727,458119,59245,0.605797528,240,0,18,212.3,194.3
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,51,WE00063,F010,LO001,CO6,13,v1.3.1(feb22-region),198.5068259,3974.498378,1758,37.11532255,3394946,0.399874075,0.674508545,147515,30043,0.803185438,118,0,99,NA,200
F2_24FPS_210719155352_OlE_HR_IPF2_2x_BQ_21C,15,WE00015,B010,LO001,CO6,24,v1.3.1(feb22-region),200.5489796,118006.3276,980,3.328468493,8131,0.168072719,0.264079242,392780,104851,0.515306122,240,0,18,NA,200
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,14,WE00014,B011,LO001,CO6,13,v1.3.1(feb22-region),203.9092334,22746.50331,5740,2.774171461,7472,0.294727556,0.602132864,63103,13474,0.49912892,130,0,54,55.7,1.7
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,92,WE00022,B003,LO002,CO6,13,v1.3.1(feb22-region),204.812285,2543.266021,2035,7.732760402,2564491,0.313072577,0.471953065,19666,4955,0.546437346,64,0,183,176.1,6.9
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,106,WE00038,D011,LO002,CO6,13,v1.3.1(feb22-region),206.8609113,7270.865851,6672,25.25090631,3125493,0.425324328,0.797392492,183596,26412,0.79736211,100,0,109,107.6,1.4
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,21,WE00021,B004,LO001,CO6,13,v1.3.1(feb22-region),206.8745004,8302.809221,1251,19.09679187,3643,0.411525694,0.746784764,158557,25852,0.901678657,130,0,108,108.7,0.7
OMAR_13FPS_170814143625_Ol_SCN5A_NKX2_5_Temp_21C,27,WE00039,D010,LO001,CO6,13,v1.3.1(feb22-region),209.5043732,63224.5964,7203,2.514814284,2788,0.329422548,0.584070168,158998,28771,0.595724004,130,0,102,99,3
OMAR_13FPS_170829142203_Ol_GIGYF1_CCDC141_Temp_28C,159,WE00091,H006,LO002,CO6,13,v1.3.1(feb22-region),209.6139937,2140.536364,1272,12.31602708,5180,0.359270971,0.616171035,26363,9430,0.950471698,130,0,162,164,2
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,141,WE00075,G003,LO002,CO6,13,v1.3.1(feb22-region),210.3705096,2703.401712,2394,19.13125725,3742,0.360090312,0.601358842,51719,16023,0.915204678,130,0,114,111.4,2.6
F2_24FPS_210719155352_OlE_HR_IPF2_2x_BQ_21C,53,WE00053,E005,LO001,CO6,24,v1.3.1(feb22-region),210.6461268,32774.98491,568,4.170941308,6642,0.543201952,0.672209814,136703,63971,1,240,0,90,90.6,0.6
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,81,WE00095,H002,LO001,CO6,13,v1.3.1(feb22-region),211.264853,10635.54779,4999,11.85209903,5031,0.449298295,0.794753119,126054,25342,0.919383877,130,0,108,106.9,1.1
OMAR_13FPS_170829142203_Ol_GIGYF1_CCDC141_Temp_28C,42,WE00054,E006,LO001,CO6,13,v1.3.1(feb22-region),212.6061157,1860.598857,6050,28.10041234,3481622,0.571096103,0.857569328,52284,12992,0.89785124,74,0,158,156,2
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,145,WE00079,G007,LO002,CO6,13,v1.3.1(feb22-region),213.1034755,4247.209337,2532,13.3674163,2001,0.38711104,0.646368094,56774,17887,0.924170616,130,0,114,116,2
F2_24FPS_210719170353_OlE_HR_IPF2_2x_BQ_28C,46,WE00046,D003,LO001,CO6,24,v1.3.1(feb22-region),214.3405405,2905.093586,370,27.02060484,8520,0.434647213,0.760191091,78497,24343,0.92972973,240,0,168,168,0
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,35,WE00047,D002,LO001,CO6,13,v1.3.1(feb22-region),214.8638655,3377.73598,595,41.99514009,4367,0.327182436,0.617426022,141848,25372,0.806722689,130,0,102,NA,200
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,3,WE00003,A003,LO001,CO6,13,v1.3.1(feb22-region),216.1302183,55759.26731,2611,4.870633105,2437,0.417944752,0.738057679,271583,44166,0.612409039,130,0,54,52.9,1.1
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,86,WE00016,B009,LO002,CO6,13,v1.3.1(feb22-region),217.2743291,22254.73608,7378,9.473526037,92209,0.535204936,0.909773464,210831,32904,0.88953646,77,0,101,100.9,0.1
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,5,WE00005,A005,LO001,CO6,13,v1.3.1(feb22-region),217.7222222,13074.75156,1998,14.90140713,2938,0.371495646,0.672304642,194832,26297,0.821821822,130,0,96,97.5,1.5
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,65,WE00079,G007,LO001,CO6,13,v1.3.1(feb22-region),219.0392157,1764.837026,1428,27.21155594,1354,0.385360273,0.715804114,48024,11773,0.842436975,130,0,180,179.5,0.5
F2_24FPS_210719181906_OlE_HR_IPF2_2x_BQ_35C,53,WE00053,E005,LO001,CO6,24,v1.3.1(feb22-region),221.0532697,5660.2769,5444,26.03274397,52826,0.530525696,0.752709753,147353,21094,0.931484203,97,0,223,229.1,6.1
F2_24FPS_210719155352_OlE_HR_IPF2_2x_BQ_21C,71,WE00071,F002,LO001,CO6,24,v1.3.1(feb22-region),224.1868119,20436.89025,8538,24.48469546,96642,0.390792721,0.564295192,500391,75204,0.724759897,120,0,96,91.9,4.1
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,12,WE00024,B001,LO001,CO6,13,v1.3.1(feb22-region),228.152809,6344.966062,1335,13.82460083,4936,0.261740099,0.564523308,87717,18015,0.582771536,130,0,96,NA,200
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,24,WE00024,B001,LO001,CO6,13,v1.3.1(feb22-region),228.5765766,28455.33814,6438,7.09077999,51227,0.588650194,0.927767955,201771,43484,0.809723517,70,0,100,100.6,0.6
F2_24FPS_210719155352_OlE_HR_IPF2_2x_BQ_21C,33,WE00033,C009,LO001,CO6,24,v1.3.1(feb22-region),229.0420463,58310.69368,1427,3.139185778,4137,0.524669476,0.697159297,183048,57279,0.95024527,240,0,90,91.2,1.2
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,161,WE00091,H006,LO002,CO6,13,v1.3.1(feb22-region),229.5022371,2546.548861,5364,12.66113307,6617,0.235498366,0.415313799,32242,8611,0.622483221,130,0,156,159.8,3.8
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,30,WE00042,D007,LO001,CO6,13,v1.3.1(feb22-region),231.5233359,52911.20896,5228,8.395920617,3820259,0.528863503,0.861997344,444238,49675,0.819433818,88,0,97,95.9,1.1
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,150,WE00078,G006,LO002,CO6,13,v1.3.1(feb22-region),232.0142276,15056.64249,2952,6.365941448,2613,0.373279384,0.690145032,95850,25333,0.867547425,130,0,96,97,1
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,7,WE00007,A007,LO001,CO6,13,v1.3.1(feb22-region),232.3412667,3876.257006,5084,63.79422611,68039,0.322398134,0.489055959,247283,31901,0.472462628,75,0,94,99.2,5.2
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,76,WE00078,G006,LO001,CO6,13,v1.3.1(feb22-region),232.6094225,8658.819667,7238,11.51720716,6116,0.419912252,0.752350538,99725,27244,0.87966289,130,0,108,108.7,0.7
OMAR_13FPS_170829142203_Ol_GIGYF1_CCDC141_Temp_28C,17,WE00029,C005,LO001,CO6,13,v1.3.1(feb22-region),234.9126416,2159.423153,10062,77.75584981,98603,0.492588724,0.891840648,167908,19117,0.764062811,70,0,167,169,2
OMAR_13FPS_170829142203_Ol_GIGYF1_CCDC141_Temp_28C,84,WE00013,B012,LO002,CO6,13,v1.3.1(feb22-region),235.7492289,3933.220087,8430,33.87311496,2030250,0.502241426,0.837914278,133230,19031,0.867615658,88,0,160,160,0
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,11,WE00011,A011,LO001,CO6,13,v1.3.1(feb22-region),237.0811252,73738.81086,2453,1.672009405,1543431,0.34229145,0.655501546,123292,31087,0.637178965,129,0,48,98.3,50.3
OMAR_13FPS_170814143625_Ol_SCN5A_NKX2_5_Temp_21C,10,WE00022,B003,LO001,CO6,13,v1.3.1(feb22-region),237.1716081,32640.01963,6206,7.145010537,5315,0.473893691,0.821548966,233213,38819,0.880277151,130,0,96,97,1
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,103,WE00035,C011,LO002,CO6,13,v1.3.1(feb22-region),238.5982113,10348.06845,3019,10.55472941,4336,0.461084657,0.748091665,109221,34634,0.943358728,130,0,96,96.7,0.7
OMAR_13FPS_170814143625_Ol_SCN5A_NKX2_5_Temp_21C,28,WE00040,D009,LO001,CO6,13,v1.3.1(feb22-region),238.6231563,48542.33642,6780,2.290712416,3226,0.284588294,0.524613902,111197,24167,0.433333333,130,0,48,101,53
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,90,WE00021,B004,LO002,CO6,13,v1.3.1(feb22-region),238.8121437,5394.95038,4035,28.82222829,5390,0.369039498,0.67351252,155494,34428,0.881784387,130,0,102,100,2
F2_24FPS_210719181906_OlE_HR_IPF2_2x_BQ_35C,82,WE00082,G010,LO001,CO6,24,v1.3.1(feb22-region),238.9865952,814.6167148,373,77.38086314,2341,0.794960764,0.880845542,63036,38933,1,240,0,210,210.3,0.3
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,124,WE00054,E006,LO002,CO6,13,v1.3.1(feb22-region),241.4748499,2298.620157,12823,87.82004686,3715087,0.479578971,0.744264205,201865,24328,0.747095064,60,0,169,164.9,4.1
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,155,WE00089,H008,LO002,CO6,13,v1.3.1(feb22-region),241.4802824,6454.92691,4108,9.478929228,2151,0.220317131,0.393189101,61186,17298,0.434518014,130,0,108,104.9,3.1
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,132,WE00066,F007,LO002,CO6,13,v1.3.1(feb22-region),242.2704203,4348.89717,3783,25.88569489,1910,0.292310049,0.476585923,112574,25566,0.734602168,130,0,108,105.8,2.2
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,115,WE00047,D002,LO002,CO6,13,v1.3.1(feb22-region),243.3605747,3675.354951,6473,28.70661841,7108,0.273055509,0.438360006,105507,25968,0.523250425,130,0,96,99.2,3.2
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,134,WE00062,F011,LO002,CO6,13,v1.3.1(feb22-region),243.9512676,8007.520657,3550,10.29894686,6630,0.276487833,0.481383148,82469,21076,0.614929577,130,0,102,100,2
